block_request_id,asset_id,section_id_request,station_code,maintenance_type,requested_duration_min,priority,preferred_start_time,time_flexibility,required_team,request_urgency,status,preferred_start_min,flexibility_min,earliest_start_min,latest_start_min,asset_type,section_id_asset,nearest_station_code,criticality,asset_risk_score,maintenance_priority
BR-0001,AST-0157,SEC-014,KMN,OHE Inspection,75,Medium,18:45,Fixed,Bridge Inspection Team,Normal,Pending,1125,0,1125,1125,OHE,SEC-014,KMN,Medium,37.72,Medium
BR-0002,AST-0086,SEC-030,WR,Track Inspection,45,High,11:15,±30 min,Track Maintenance Team,Normal,Pending,675,30,645,705,OHE,SEC-030,WR,Medium,70.23,High
BR-0003,AST-0166,SEC-003,RU,Point Machine Maintenance,30,Low,05:15,Fixed,Bridge Inspection Team,Normal,Pending,315,0,315,315,Point Machine,SEC-003,RU,High,23.5,Low
BR-0004,AST-0027,SEC-026,PRLI,Track Inspection,75,High,07:30,±30 min,Track Maintenance Team,Normal,Pending,450,30,420,480,Bridge,SEC-026,PRLI,High,61.14,High
BR-0005,AST-0099,SEC-003,RU,Signal Maintenance,60,Critical,07:15,±30 min,Bridge Inspection Team,Normal,Pending,435,30,405,465,Bridge,SEC-003,RU,Medium,81.46,Critical
BR-0006,AST-0189,SEC-049,KGP,Track Renewal,120,Medium,05:00,Fixed,Bridge Inspection Team,Normal,Pending,300,0,300,300,Point Machine,SEC-049,KGP,Medium,40.6,Medium
BR-0007,AST-0090,SEC-043,HBJ,OHE Inspection,90,High,06:00,±30 min,Signal Team,Normal,Pending,360,30,330,390,Point Machine,SEC-043,HBJ,High,69.6,High
BR-0008,AST-0126,SEC-041,GAR,Track Inspection,90,Medium,08:00,±15 min,Bridge Inspection Team,Normal,Pending,480,15,465,495,Track,SEC-041,GAR,Critical,49.75,Medium
BR-0009,AST-0059,SEC-021,BD,Track Renewal,30,Medium,06:30,Fixed,Signal Team,Urgent,Pending,390,0,390,390,Bridge,SEC-021,BD,Low,43.06,Medium
BR-0010,AST-0077,SEC-033,DLGN,Track Renewal,30,Low,13:00,±30 min,Bridge Inspection Team,Urgent,Pending,780,30,750,810,Signal,SEC-033,DLGN,Medium,31.57,Low
