asset_id,section_id,nearest_station_code
AST-0001,SEC-026,PBN
AST-0002,SEC-001,BAM
AST-0003,SEC-046,MAS
AST-0004,SEC-002,BZA
AST-0005,SEC-039,PPI
AST-0006,SEC-037,PUNE
AST-0007,SEC-021,MZR
AST-0008,SEC-017,ANG
AST-0009,SEC-044,ORAI
AST-0010,SEC-021,BD
AST-0011,SEC-007,CSN
AST-0012,SEC-015,JEUR
AST-0013,SEC-002,VSKP
AST-0014,SEC-016,DD
AST-0015,SEC-046,MAS
AST-0016,SEC-028,WHM
AST-0017,SEC-030,WR
AST-0018,SEC-048,BHC
AST-0019,SEC-021,BD
AST-0020,SEC-017,ANG
AST-0021,SEC-021,MZR
AST-0022,SEC-026,PRLI
AST-0023,SEC-018,KPG
AST-0024,SEC-043,HBJ
AST-0025,SEC-014,PVR
AST-0026,SEC-030,NGP
AST-0027,SEC-026,PRLI
AST-0028,SEC-049,KGP
AST-0029,SEC-008,PC
AST-0030,SEC-006,NK
AST-0031,SEC-011,LS
AST-0032,SEC-031,RKD
AST-0033,SEC-035,PNF
AST-0034,SEC-033,KVK
AST-0035,SEC-004,DR
AST-0036,SEC-050,RPH
AST-0037,SEC-015,JEUR
AST-0038,SEC-038,HD
AST-0039,SEC-027,PAU
AST-0040,SEC-003,RU
AST-0041,SEC-045,LKO
AST-0042,SEC-020,SEG
AST-0043,SEC-003,JTJ
AST-0044,SEC-027,HNL
AST-0045,SEC-030,NGP
AST-0046,SEC-035,PNF
AST-0047,SEC-017,ANG
AST-0048,SEC-002,BZA
AST-0049,SEC-025,LTRR
AST-0050,SEC-019,NN
AST-0051,SEC-002,BZA
AST-0052,SEC-012,DVL
AST-0053,SEC-031,KOP
AST-0054,SEC-045,LKO
AST-0055,SEC-013,JM
AST-0056,SEC-044,ORAI
AST-0057,SEC-008,BSL
AST-0058,SEC-034,MLB
AST-0059,SEC-021,BD
AST-0060,SEC-035,GNH
AST-0061,SEC-016,BGVN
AST-0062,SEC-004,DR
AST-0063,SEC-019,MKU
AST-0064,SEC-007,CSN
AST-0065,SEC-025,LTRR
AST-0066,SEC-007,JL
AST-0067,SEC-019,NN
AST-0068,SEC-032,MRJ
AST-0069,SEC-037,PUNE
AST-0070,SEC-018,BDWD
AST-0071,SEC-030,NGP
AST-0072,SEC-043,BINA
AST-0073,SEC-013,JM
AST-0074,SEC-036,ARAG
AST-0075,SEC-036,ARAG
AST-0076,SEC-047,VZM
AST-0077,SEC-033,DLGN
AST-0078,SEC-042,LTT
AST-0079,SEC-034,SGLA
AST-0080,SEC-004,BNC
AST-0081,SEC-019,NN
AST-0082,SEC-007,JL
AST-0083,SEC-049,HWH
AST-0084,SEC-044,JHS
AST-0085,SEC-027,HNL
AST-0086,SEC-030,WR
AST-0087,SEC-041,JBP
AST-0088,SEC-049,HWH
AST-0089,SEC-041,GAR
AST-0090,SEC-043,HBJ
AST-0091,SEC-030,NGP
AST-0092,SEC-017,BAP
AST-0093,SEC-029,DMN
AST-0094,SEC-031,RKD
AST-0095,SEC-044,ORAI
AST-0096,SEC-045,LKO
AST-0097,SEC-018,KPG
AST-0098,SEC-049,HWH
AST-0099,SEC-003,RU
AST-0100,SEC-023,MO
AST-0101,SEC-050,MLDT
AST-0102,SEC-048,KUR
AST-0103,SEC-011,LS
AST-0104,SEC-038,HD
AST-0105,SEC-041,JBP
AST-0106,SEC-041,JBP
AST-0107,SEC-040,MML
AST-0108,SEC-010,NGN
AST-0109,SEC-032,MRJ
AST-0110,SEC-004,DR
AST-0111,SEC-017,ANG
AST-0112,SEC-019,NN
AST-0113,SEC-003,JTJ
AST-0114,SEC-003,JTJ
AST-0115,SEC-010,DHI
AST-0116,SEC-030,WR
AST-0117,SEC-043,HBJ
AST-0118,SEC-003,JTJ
AST-0119,SEC-044,JHS
AST-0120,SEC-042,HBD
AST-0121,SEC-028,CND
AST-0122,SEC-042,HBD
AST-0123,SEC-010,NGN
AST-0124,SEC-022,NAVI
AST-0125,SEC-004,DR
AST-0126,SEC-041,GAR
AST-0127,SEC-010,DHI
AST-0128,SEC-037,JTRD
AST-0129,SEC-027,HNL
AST-0130,SEC-018,KPG
AST-0131,SEC-050,MLDT
AST-0132,SEC-018,BDWD
AST-0133,SEC-014,PVR
AST-0134,SEC-020,SEG
AST-0135,SEC-001,BBS
AST-0136,SEC-021,BD
AST-0137,SEC-045,CNB
AST-0138,SEC-011,LS
AST-0139,SEC-004,BNC
AST-0140,SEC-045,LKO
AST-0141,SEC-022,SUR
AST-0142,SEC-018,KPG
AST-0143,SEC-009,JMD
AST-0144,SEC-042,HBD
AST-0145,SEC-033,DLGN
AST-0146,SEC-006,NK
AST-0147,SEC-018,KPG
AST-0148,SEC-033,KVK
AST-0149,SEC-013,CSTM
AST-0150,SEC-032,HTK
AST-0151,SEC-045,CNB
AST-0152,SEC-014,KMN
AST-0153,SEC-032,HTK
AST-0154,SEC-040,NU
AST-0155,SEC-016,DD
AST-0156,SEC-041,GAR
AST-0157,SEC-014,KMN
AST-0158,SEC-033,KVK
AST-0159,SEC-029,PLO
AST-0160,SEC-019,NN
AST-0161,SEC-045,CNB
AST-0162,SEC-013,CSTM
AST-0163,SEC-050,RPH
AST-0164,SEC-045,CNB
AST-0165,SEC-039,ET
AST-0166,SEC-003,RU
AST-0167,SEC-014,PVR
AST-0168,SEC-039,PPI
AST-0169,SEC-010,NGN
AST-0170,SEC-030,NGP
AST-0171,SEC-012,KSRA
AST-0172,SEC-016,BGVN
AST-0173,SEC-023,MO
AST-0174,SEC-031,KOP
AST-0175,SEC-013,JM
AST-0176,SEC-020,SEG
AST-0177,SEC-015,JEUR
AST-0178,SEC-045,CNB
AST-0179,SEC-017,ANG
AST-0180,SEC-011,MMR
AST-0181,SEC-017,ANG
AST-0182,SEC-029,PLO
AST-0183,SEC-008,PC
AST-0184,SEC-043,BINA
AST-0185,SEC-021,BD
AST-0186,SEC-036,SGRE
AST-0187,SEC-002,VSKP
AST-0188,SEC-006,IGP
AST-0189,SEC-049,KGP
AST-0190,SEC-033,DLGN
AST-0191,SEC-017,ANG
AST-0192,SEC-047,VZM
AST-0193,SEC-001,BBS
AST-0194,SEC-027,PAU
AST-0195,SEC-046,KPD
AST-0196,SEC-013,JM
AST-0197,SEC-020,AK
AST-0198,SEC-046,MAS
AST-0199,SEC-006,IGP
AST-0200,SEC-049,HWH
