block_request_id,asset_id,section_id,station_code,maintenance_type,requested_duration_min,priority,preferred_start_time,time_flexibility,required_team,request_urgency,status,preferred_start_min,flexibility_min,earliest_start_min,latest_start_min,station Code,Station Name
BR-0001,AST-0157,SEC-014,KMN,OHE Inspection,75,Medium,18:45,Fixed,Bridge Inspection Team,Normal,Pending,1125,0,1125,1125,KMN,KHAMGAON
BR-0002,AST-0086,SEC-030,WR,Track Inspection,45,High,11:15,±30 min,Track Maintenance Team,Normal,Pending,675,30,645,705,WR,WARDHA JN
BR-0003,AST-0166,SEC-003,RU,Point Machine Maintenance,30,Low,05:15,Fixed,Bridge Inspection Team,Normal,Pending,315,0,315,315,RU,RENIGUNTA JN
BR-0004,AST-0027,SEC-026,PRLI,Track Inspection,75,High,07:30,±30 min,Track Maintenance Team,Normal,Pending,450,30,420,480,PRLI,PARLI VAIJNATH
BR-0005,AST-0099,SEC-003,RU,Signal Maintenance,60,Critical,07:15,±30 min,Bridge Inspection Team,Normal,Pending,435,30,405,465,RU,RENIGUNTA JN
BR-0006,AST-0189,SEC-049,KGP,Track Renewal,120,Medium,05:00,Fixed,Bridge Inspection Team,Normal,Pending,300,0,300,300,KGP,KHARAGPUR JN
BR-0007,AST-0090,SEC-043,HBJ,OHE Inspection,90,High,06:00,±30 min,Signal Team,Normal,Pending,360,30,330,390,HBJ,HABIBGANJ
BR-0008,AST-0126,SEC-041,GAR,Track Inspection,90,Medium,08:00,±15 min,Bridge Inspection Team,Normal,Pending,480,15,465,495,GAR,GADARWARA
BR-0009,AST-0059,SEC-021,BD,Track Renewal,30,Medium,06:30,Fixed,Signal Team,Urgent,Pending,390,0,390,390,BD,BADNERA JN
BR-0010,AST-0077,SEC-033,DLGN,Track Renewal,30,Low,13:00,±30 min,Bridge Inspection Team,Urgent,Pending,780,30,750,810,DLGN,DHALGAON
BR-0011,AST-0189,SEC-049,KGP,Track Inspection,75,Medium,20:00,±30 min,Track Maintenance Team,Normal,Pending,1200,30,1170,1230,KGP,KHARAGPUR JN
BR-0012,AST-0197,SEC-020,AK,OHE Inspection,60,Medium,07:00,Fixed,Track Maintenance Team,Urgent,Pending,420,0,420,420,AK,AKOLA JN
BR-0013,AST-0177,SEC-015,JEUR,Signal Maintenance,45,Medium,14:45,±15 min,Signal Team,Urgent,Pending,885,15,870,900,JEUR,JEUR
BR-0014,AST-0164,SEC-045,CNB,Signal Maintenance,60,High,17:00,±30 min,Track Maintenance Team,Normal,Pending,1020,30,990,1050,CNB,KANPUR CENTRAL
BR-0015,AST-0122,SEC-042,HBD,Bridge Inspection,30,High,18:30,±60 min,Track Maintenance Team,Normal,Pending,1110,60,1050,1170,HBD,HOSHANGABAD
BR-0016,AST-0194,SEC-027,PAU,Rail Grinding,90,Low,18:30,Fixed,OHE Team,Urgent,Pending,1110,0,1110,1110,PAU,PURNA JN
BR-0017,AST-0121,SEC-028,CND,Track Renewal,60,High,06:45,±30 min,Track Maintenance Team,Urgent,Pending,405,30,375,435,CND,CHANDUR
BR-0018,AST-0166,SEC-003,RU,Track Inspection,120,Low,02:45,±15 min,Track Maintenance Team,Normal,Pending,165,15,150,180,RU,RENIGUNTA JN
BR-0019,AST-0163,SEC-050,RPH,Point Machine Maintenance,90,Critical,10:00,±30 min,Track Maintenance Team,Urgent,Pending,600,30,570,630,RPH,RAMPUR HAT
BR-0020,AST-0127,SEC-010,DHI,Point Machine Maintenance,30,Medium,22:45,Fixed,Signal Team,Urgent,Pending,1365,0,1365,1365,DHI,DHULE
BR-0021,AST-0164,SEC-045,CNB,Rail Grinding,30,High,02:00,±15 min,Signal Team,Normal,Pending,120,15,105,135,CNB,KANPUR CENTRAL
BR-0022,AST-0098,SEC-049,HWH,Track Inspection,75,Medium,02:30,±30 min,OHE Team,Normal,Pending,150,30,120,180,HWH,HOWRAH JN
BR-0023,AST-0075,SEC-036,ARAG,OHE Inspection,45,Medium,15:45,±30 min,Bridge Inspection Team,Normal,Pending,945,30,915,975,ARAG,ARAG
BR-0024,AST-0152,SEC-014,KMN,Signal Maintenance,75,Medium,06:15,±30 min,Track Maintenance Team,Urgent,Pending,375,30,345,405,KMN,KHAMGAON
BR-0025,AST-0193,SEC-001,BBS,Signal Maintenance,60,Low,14:45,Fixed,Signal Team,Normal,Pending,885,0,885,885,BBS,BHUBANESWAR
BR-0026,AST-0171,SEC-012,KSRA,Track Inspection,60,High,14:30,±30 min,Track Maintenance Team,Normal,Pending,870,30,840,900,KSRA,KASARA
BR-0027,AST-0069,SEC-037,PUNE,OHE Inspection,75,High,07:15,±30 min,Track Maintenance Team,Normal,Pending,435,30,405,465,PUNE,PUNE JN
BR-0028,AST-0113,SEC-003,JTJ,Track Renewal,90,Medium,12:15,±15 min,OHE Team,Urgent,Pending,735,15,720,750,JTJ,JOLARPETTAI
BR-0029,AST-0004,SEC-002,BZA,Rail Grinding,60,High,13:15,±30 min,OHE Team,Normal,Pending,795,30,765,825,BZA,VIJAYAWADA JN
BR-0030,AST-0059,SEC-021,BD,Rail Grinding,120,Medium,14:00,±15 min,Track Maintenance Team,Normal,Pending,840,15,825,855,BD,BADNERA JN
BR-0031,AST-0124,SEC-022,NAVI,Signal Maintenance,120,High,04:30,±30 min,Track Maintenance Team,Urgent,Pending,270,30,240,300,NAVI,NEW AMRAVATI
BR-0032,AST-0077,SEC-033,DLGN,OHE Inspection,75,Low,14:15,Fixed,Bridge Inspection Team,Urgent,Pending,855,0,855,855,DLGN,DHALGAON
BR-0033,AST-0049,SEC-025,LTRR,Track Renewal,90,Medium,12:15,±30 min,OHE Team,Normal,Pending,735,30,705,765,LTRR,LATUR ROAD
BR-0034,AST-0042,SEC-020,SEG,Track Inspection,90,Low,01:45,±15 min,Track Maintenance Team,Normal,Pending,105,15,90,120,SEG,SHEGAON
BR-0035,AST-0021,SEC-021,MZR,Signal Maintenance,75,High,11:30,±15 min,OHE Team,Normal,Pending,690,15,675,705,MZR,MURTAJAPUR
BR-0036,AST-0141,SEC-022,SUR,Point Machine Maintenance,60,Medium,14:15,±15 min,Track Maintenance Team,Normal,Pending,855,15,840,870,SUR,SOLAPUR JN
BR-0037,AST-0082,SEC-007,JL,Track Renewal,30,Low,07:15,±30 min,Track Maintenance Team,Normal,Pending,435,30,405,465,JL,JALGAON JN
BR-0038,AST-0008,SEC-017,ANG,Track Renewal,90,Low,04:00,±30 min,OHE Team,Urgent,Pending,240,30,210,270,ANG,AHMADNAGAR
BR-0039,AST-0117,SEC-043,HBJ,Signal Maintenance,120,Critical,01:30,±30 min,Signal Team,Normal,Pending,90,30,60,120,HBJ,HABIBGANJ
BR-0040,AST-0139,SEC-004,BNC,Signal Maintenance,90,Medium,06:45,±30 min,Track Maintenance Team,Urgent,Pending,405,30,375,435,BNC,BANGALORE CANT
BR-0041,AST-0012,SEC-015,JEUR,Signal Maintenance,60,Low,05:00,±30 min,Bridge Inspection Team,Urgent,Pending,300,30,270,330,JEUR,JEUR
BR-0042,AST-0070,SEC-018,BDWD,Track Inspection,75,Medium,22:15,±15 min,Signal Team,Urgent,Pending,1335,15,1320,1350,BDWD,BODWAD
BR-0043,AST-0143,SEC-009,JMD,Track Inspection,30,Medium,10:45,±15 min,OHE Team,Urgent,Pending,645,15,630,660,JMD,JAMDHA
BR-0044,AST-0082,SEC-007,JL,Track Renewal,75,Low,18:30,±60 min,Bridge Inspection Team,Urgent,Pending,1110,60,1050,1170,JL,JALGAON JN
BR-0045,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,19:00,±30 min,Bridge Inspection Team,Normal,Pending,1140,30,1110,1170,BINA,BINA JN
